,Temperature(F)
0,79.0
1,80.0
2,79.0
3,77.0
4,78.0
5,78.0
6,79.0
7,80.0
8,81.0
9,80.0
10,79.0
11,75.0
12,79.0
13,76.0
14,76.0
15,80.0
16,79.0
17,78.0
18,76.0
19,78.0
20,78.0
21,75.0
22,79.0
23,80.0
24,79.0
25,81.0
26,77.0
27,77.0
28,78.0
29,76.0
30,82.0
31,81.0
32,78.0
33,80.0
34,80.0
35,79.0
36,80.0
37,80.0
38,80.0
39,79.0
40,79.0
41,79.0
42,80.0
43,80.0
44,79.0
45,78.0
46,76.0
47,75.0
48,80.0
49,80.0
50,79.0
51,80.0
52,79.0
53,78.0
54,78.0
55,80.0
56,81.0
57,79.0
58,77.0
59,79.0
60,78.0
61,77.0
62,77.0
63,78.0
64,77.0
65,78.0
66,77.0
67,76.0
68,77.0
69,77.0
70,77.0
71,77.0
72,77.0
73,76.0
74,75.0
75,71.0
76,71.0
77,71.0
78,71.0
79,72.0
80,71.0
81,72.0
82,77.0
83,77.0
84,77.0
85,77.0
86,77.0
87,75.0
88,76.0
89,76.0
90,75.0
91,72.0
92,74.0
93,75.0
94,73.0
95,76.0
96,75.0
97,68.0
98,75.0
99,75.0
100,72.0
101,69.0
102,71.0
103,68.0
104,67.0
105,69.0
106,73.0
107,70.0
108,70.0
109,70.0
110,66.0
111,67.0
112,70.0
113,66.0
114,62.0
115,71.0
116,73.0
117,69.0
118,77.0
119,74.0
120,71.0
121,72.0
122,74.0
123,74.0
124,74.0
125,74.0
126,71.0
127,73.0
128,69.0
129,66.0
130,62.0
131,66.0
132,63.0
133,62.0
134,63.0
135,64.0
136,66.0
137,60.0
138,64.0
139,63.0
140,78.0
141,67.0
142,67.0
143,65.0
144,66.0
145,67.0
146,66.0
147,72.0
148,73.0
149,71.0
150,72.0
151,72.0
152,72.0
153,69.0
154,72.0
155,71.0
156,65.0
157,64.0
158,67.0
159,67.0
160,68.0
161,70.0
162,61.0
163,65.0
164,72.0
165,73.0
166,76.0
167,64.0
168,62.0
169,61.0
170,71.0
171,69.0
172,68.0
173,74.0
174,75.0
175,75.0
176,71.0
177,71.0
178,68.0
179,69.0
180,71.0
181,70.0
182,72.0
183,74.0
184,70.0
185,64.0
186,65.0
187,72.0
188,74.0
189,66.0
190,73.0
191,69.0
192,74.0
193,71.0
194,69.0
195,68.0
196,71.0
197,72.0
198,68.0
199,71.0
200,74.0
201,71.0
202,71.0
203,71.0
204,70.0
205,72.0
206,69.0
207,73.0
208,75.0
209,75.0
210,74.0
211,70.0
212,73.0
213,76.0
214,76.0
215,75.0
216,77.0
217,76.0
218,77.0
219,76.0
220,76.0
221,76.0
222,77.0
223,76.0
224,78.0
225,77.0
226,77.0
227,77.0
228,72.0
229,75.0
230,79.0
231,78.0
232,77.0
233,75.0
234,73.0
235,74.0
236,74.0
237,75.0
238,74.0
239,78.0
240,73.0
241,76.0
242,77.0
243,77.0
244,77.0
245,77.0
246,78.0
247,76.0
248,72.0
249,63.0
250,75.0
251,78.0
252,78.0
253,78.0
254,79.0
255,79.0
256,79.0
257,77.0
258,78.0
259,78.0
260,79.0
261,79.0
262,77.0
263,78.0
264,78.0
265,78.0
266,73.0
267,76.0
268,78.0
269,76.0
270,77.0
271,87.0
272,77.0
273,77.0
274,74.0
275,76.0
276,75.0
277,76.0
278,79.0
279,79.0
280,79.0
281,79.0
282,79.0
283,80.0
284,79.0
285,79.0
286,80.0
287,80.0
288,77.0
289,79.0
290,83.0
291,80.0
292,80.0
293,78.0
294,79.0
295,80.0
296,77.0
297,80.0
298,78.0
299,79.0
300,80.0
301,78.0
302,80.0
303,80.0
304,81.0
305,80.0
306,79.0
307,79.0
308,75.0
309,80.0
310,80.0
311,78.0
312,80.0
313,80.0
314,81.0
315,79.0
316,80.0
317,80.0
318,80.0
319,78.0
320,81.0
321,79.0
322,81.0
323,80.0
324,78.0
325,80.0
326,80.0
327,80.0
328,80.0
329,81.0
330,81.0
331,78.0
332,80.0
333,82.0
334,79.0
335,81.0
336,81.0
337,81.0
338,80.0
339,77.0
340,73.0
341,79.0
342,80.0
343,81.0
344,80.0
345,80.0
346,80.0
347,80.0
348,81.0
349,78.0
350,80.0
351,81.0
352,79.0
353,78.0
354,80.0
355,79.0
356,81.0
357,81.0
358,82.0
359,81.0
360,76.0
361,77.0
362,78.0
363,73.0
364,73.0
365,78.0
366,76.0
367,77.0
368,79.0
369,78.0
370,77.0
371,75.0
372,78.0
373,74.0
374,75.0
375,77.0
376,76.0
377,76.0
378,76.0
379,76.0
380,76.0
381,76.0
382,78.0
383,78.0
384,78.0
385,78.0
386,75.0
387,78.0
388,76.0
389,77.0
390,76.0
391,79.0
392,77.0
393,77.0
394,77.0
395,77.0
396,76.0
397,77.0
398,75.0
399,77.0
400,78.0
401,78.0
402,77.0
403,76.0
404,78.0
405,76.0
406,77.0
407,75.0
408,77.0
409,75.0
410,78.0
411,77.0
412,76.0
413,75.0
414,77.0
415,77.0
416,77.0
417,76.0
418,76.0
419,77.0
420,76.0
421,76.0
422,77.0
423,74.0
424,75.0
425,77.0
426,77.0
427,78.0
428,76.0
429,77.0
430,76.0
431,74.0
432,76.0
433,72.0
434,76.0
435,69.0
436,71.0
437,70.0
438,69.0
439,71.0
440,68.0
441,72.0
442,76.0
443,78.0
444,76.0
445,75.0
446,78.0
447,73.0
448,75.0
449,75.0
450,76.0
451,75.0
452,75.0
453,76.0
454,76.0
455,75.0
456,75.0
457,74.0
458,74.0
459,73.0
460,71.0
461,71.0
462,69.0
463,68.0
464,70.0
465,71.0
466,72.0
467,70.0
468,71.0
469,72.0
470,68.0
471,68.0
472,70.0
473,70.0
474,63.0
475,71.0
476,67.0
477,69.0
478,74.0
479,72.0
480,70.0
481,69.0
482,73.0
483,74.0
484,74.0
485,73.0
486,71.0
487,72.0
488,69.0
489,71.0
490,66.0
491,66.0
492,65.0
493,64.0
494,65.0
495,70.0
496,72.0
497,62.0
498,65.0
499,66.0
500,66.0
501,67.0
502,70.0
503,66.0
504,67.0
505,69.0
506,74.0
507,73.0
508,74.0
509,73.0
510,72.0
511,71.0
512,71.0
513,71.0
514,73.0
515,72.0
516,63.0
517,71.0
518,71.0
519,69.0
520,69.0
521,69.0
522,63.0
523,64.0
524,67.0
525,75.0
526,74.0
527,67.0
528,67.0
529,64.0
530,64.0
531,65.0
532,67.0
533,69.0
534,72.0
535,76.0
536,74.0
537,67.0
538,71.0
539,70.0
540,71.0
541,70.0
542,70.0
543,70.0
544,70.0
545,63.0
546,63.0
547,66.0
548,73.0
549,72.0
550,73.0
551,73.0
552,76.0
553,70.0
554,66.0
555,65.0
556,70.0
557,67.0
558,68.0
559,68.0
560,70.0
561,70.0
562,70.0
563,71.0
564,69.0
565,69.0
566,67.0
567,72.0
568,72.0
569,73.0
570,74.0
571,74.0
572,72.0
573,72.0
574,75.0
575,74.0
576,75.0
577,73.0
578,74.0
579,74.0
580,76.0
581,74.0
582,73.0
583,72.0
584,72.0
585,73.0
586,74.0
587,73.0
588,69.0
589,71.0
590,75.0
591,74.0
592,71.0
593,70.0
594,70.0
595,69.0
596,69.0
597,70.0
598,70.0
599,75.0
600,70.0
601,74.0
602,75.0
603,76.0
604,75.0
605,78.0
606,73.0
607,70.0
608,66.0
609,61.0
610,68.0
611,73.0
612,74.0
613,77.0
614,78.0
615,75.0
616,75.0
617,71.0
618,74.0
619,75.0
620,74.0
621,74.0
622,75.0
623,75.0
624,75.0
625,75.0
626,75.0
627,70.0
628,70.0
629,72.0
630,72.0
631,76.0
632,73.0
633,75.0
634,69.0
635,73.0
636,69.0
637,71.0
638,71.0
639,74.0
640,76.0
641,76.0
642,76.0
643,76.0
644,78.0
645,76.0
646,75.0
647,75.0
648,76.0
649,78.0
650,75.0
651,73.0
652,76.0
653,76.0
654,76.0
655,77.0
656,76.0
657,77.0
658,72.0
659,77.0
660,75.0
661,82.0
662,77.0
663,76.0
664,74.0
665,73.0
666,77.0
667,77.0
668,77.0
669,76.0
670,74.0
671,76.0
672,77.0
673,77.0
674,77.0
675,77.0
676,76.0
677,77.0
678,76.0
679,76.0
680,79.0
681,76.0
682,78.0
683,76.0
684,80.0
685,79.0
686,76.0
687,75.0
688,78.0
689,78.0
690,78.0
691,78.0
692,78.0
693,75.0
694,78.0
695,78.0
696,78.0
697,77.0
698,77.0
699,78.0
700,78.0
701,77.0
702,80.0
703,81.0
704,81.0
705,81.0
706,81.0
707,80.0
708,80.0
709,82.0
710,81.0
711,82.0
712,80.0
713,80.0
714,81.0
715,77.0
716,79.0
717,79.0
718,79.0
719,81.0
720,79.0
721,79.0
722,80.0
723,80.0
724,78.0
725,81.0
726,82.0
727,82.0
728,80.0
729,79.0
730,80.0
731,79.0
732,80.0
733,80.0
734,80.0
735,80.0
736,81.0
737,80.0
738,80.0
739,79.0
740,77.0
741,80.0
742,80.0
743,81.0
744,79.0
745,81.0
746,78.0
747,80.0
748,79.0
749,77.0
750,78.0
751,80.0
752,77.0
753,81.0
754,78.0
755,78.0
756,76.0
757,78.0
758,77.0
759,77.0
760,78.0
761,77.0
762,77.0
763,77.0
764,78.0
765,72.0
766,73.0
767,74.0
768,75.0
769,77.0
770,78.0
771,78.0
772,79.0
773,77.0
774,78.0
775,77.0
776,76.0
777,74.0
778,78.0
779,76.0
780,76.0
781,75.0
782,76.0
783,75.0
784,77.0
785,75.0
786,77.0
787,76.0
788,76.0
789,75.0
790,72.0
791,76.0
792,75.0
793,72.0
794,72.0
795,75.0
796,69.0
797,75.0
798,74.0
799,78.0
800,77.0
801,76.0
802,72.0
803,73.0
804,74.0
805,74.0
806,74.0
807,73.0
808,73.0
809,71.0
810,72.0
811,74.0
812,74.0
813,70.0
814,71.0
815,72.0
816,71.0
817,71.0
818,74.0
819,72.0
820,72.0
821,76.0
822,75.0
823,77.0
824,76.0
825,75.0
826,75.0
827,77.0
828,74.0
829,73.0
830,75.0
831,73.0
832,74.0
833,74.0
834,76.0
835,71.0
836,70.0
837,72.0
838,72.0
839,73.0
840,80.0
841,77.0
842,76.0
843,67.0
844,71.0
845,73.0
846,69.0
847,76.0
848,80.0
849,79.0
850,76.0
851,73.0
852,77.0
853,72.0
854,71.0
855,72.0
856,75.0
857,71.0
858,75.0
859,71.0
860,73.0
861,71.0
862,73.0
863,74.0
864,74.0
865,74.0
866,69.0
867,75.0
868,80.0
869,77.0
870,77.0
871,77.0
872,72.0
873,76.0
874,77.0
875,76.0
876,76.0
877,78.0
878,75.0
879,78.0
880,78.0
881,77.0
882,78.0
883,77.0
884,78.0
885,77.0
886,77.0
887,76.0
888,77.0
889,76.0
890,76.0
891,77.0
892,79.0
893,77.0
894,77.0
895,77.0
896,77.0
897,69.0
898,76.0
899,83.0
900,74.0
901,70.0
902,74.0
903,79.0
904,77.0
905,78.0
906,78.0
907,77.0
908,71.0
909,63.0
910,78.0
911,76.0
912,78.0
913,77.0
914,78.0
915,78.0
916,73.0
917,79.0
918,76.0
919,78.0
920,77.0
921,77.0
922,78.0
923,78.0
924,79.0
925,79.0
926,79.0
927,78.0
928,76.0
929,79.0
930,79.0
931,79.0
932,77.0
933,79.0
934,81.0
935,81.0
936,81.0
937,78.0
938,80.0
939,79.0
940,81.0
941,80.0
942,81.0
943,79.0
944,81.0
945,78.0
946,79.0
947,79.0
948,75.0
949,79.0
950,78.0
951,80.0
952,78.0
953,77.0
954,78.0
955,79.0
956,76.0
957,80.0
958,76.0
959,81.0
960,81.0
961,81.0
962,77.0
963,81.0
964,82.0
965,80.0
966,79.0
967,81.0
968,81.0
969,80.0
970,82.0
971,79.0
972,82.0
973,82.0
974,80.0
975,79.0
976,79.0
977,80.0
978,82.0
979,79.0
980,80.0
981,79.0
982,80.0
983,81.0
984,82.0
985,81.0
986,74.0
987,80.0
988,81.0
989,81.0
990,82.0
991,81.0
992,78.0
993,81.0
994,81.0
995,81.0
996,81.0
997,81.0
998,82.0
999,82.0
1000,78.0
1001,77.0
1002,80.0
1003,80.0
1004,79.0
1005,82.0
1006,78.0
1007,81.0
1008,81.0
1009,80.0
1010,79.0
1011,79.0
1012,82.0
1013,81.0
1014,80.0
1015,79.0
1016,79.0
1017,79.0
1018,76.0
1019,76.0
1020,79.0
1021,79.0
1022,73.0
1023,76.0
1024,80.0
1025,78.0
1026,79.0
1027,80.0
1028,80.0
1029,79.0
1030,77.0
1031,80.0
1032,79.0
1033,78.0
1034,79.0
1035,80.0
1036,80.0
1037,80.0
1038,80.0
1039,78.0
1040,76.0
1041,76.0
1042,77.0
1043,73.0
1044,77.0
1045,76.0
1046,75.0
1047,77.0
1048,75.0
1049,76.0
1050,79.0
1051,77.0
1052,77.0
1053,77.0
1054,75.0
1055,73.0
1056,76.0
1057,77.0
1058,76.0
1059,74.0
1060,75.0
1061,72.0
1062,70.0
1063,68.0
1064,74.0
1065,71.0
1066,70.0
1067,70.0
1068,70.0
1069,68.0
1070,68.0
1071,68.0
1072,66.0
1073,71.0
1074,76.0
1075,73.0
1076,70.0
1077,68.0
1078,71.0
1079,71.0
1080,68.0
1081,65.0
1082,65.0
1083,67.0
1084,67.0
1085,68.0
1086,70.0
1087,73.0
1088,66.0
1089,70.0
1090,77.0
1091,69.0
1092,69.0
1093,70.0
1094,65.0
1095,68.0
1096,68.0
1097,62.0
1098,70.0
1099,72.0
1100,76.0
1101,67.0
1102,64.0
1103,64.0
1104,64.0
1105,77.0
1106,76.0
1107,73.0
1108,70.0
1109,69.0
1110,71.0
1111,72.0
1112,72.0
1113,68.0
1114,69.0
1115,72.0
1116,66.0
1117,73.0
1118,70.0
1119,67.0
1120,67.0
1121,67.0
1122,68.0
1123,68.0
1124,69.0
1125,73.0
1126,75.0
1127,71.0
1128,72.0
1129,73.0
1130,74.0
1131,77.0
1132,78.0
1133,75.0
1134,75.0
1135,73.0
1136,73.0
1137,76.0
1138,75.0
1139,76.0
1140,74.0
1141,76.0
1142,72.0
1143,75.0
1144,76.0
1145,75.0
1146,74.0
1147,78.0
1148,78.0
1149,78.0
1150,76.0
1151,79.0
1152,78.0
1153,80.0
1154,80.0
1155,78.0
1156,80.0
1157,81.0
1158,78.0
1159,77.0
1160,78.0
1161,78.0
1162,77.0
1163,76.0
1164,81.0
1165,76.0
